id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,policy_code,loan_status
1069248,15000,15000, 36 months,9.91,483.38,B,B1,8 years,1,80000,1,9.12,0,33695,2,,,9,0,11845,63.7,28,0,0,1,1
1068120,25600,25600, 36 months,9.91,824.96,B,B1,9 years,3,110000,3,15.71,0,36342,0,,,11,0,26088,62,27,0,0,1,2
1069244,7000,7000, 36 months,10.65,228.02,B,B2,< 1 year,3,40000,1,7.38,0,38078,0,,,7,0,12168,92.9,12,0,0,1,2
1069243,12000,12000, 36 months,15.96,421.65,C,C5,4 years,3,50000,1,20.88,0,38991,2,,,11,0,15793,90.8,11,0,0,1,1
1069238,12000,12000, 36 months,9.91,386.7,B,B1,1 year,3,46000,1,8.11,0,36647,1,,,11,0,12143,52.1,12,0,0,1,2
1069410,21000,21000, 60 months,19.91,555.33,E,E4,7 years,3,50000,3,21.58,0,36039,1,,,7,0,19448,97.6,14,0,0,1,1
1068409,16000,16000, 60 months,19.91,423.11,E,E4,7 years,3,81000,3,20.52,0,36130,3,,,12,0,27884,75.1,21,0,0,1,2
1068487,10000,10000, 36 months,12.42,334.16,B,B4,< 1 year,2,39000,1,18.58,0,38322,0,,,5,0,12874,72.7,10,0,0,1,2
1043961,10000,10000, 36 months,10.65,325.74,B,B2,2 years,3,51400,1,19.14,0,36800,3,,,10,0,10160,59.1,24,0,0,1,2
1068945,7100,7100, 36 months,16.77,252.33,D,D2,1 year,1,33000,3,24,0,39173,2,,,4,0,6021,91.2,8,0,0,1,2
1069142,13000,13000, 60 months,12.69,293.74,B,B5,< 1 year,1,30000,2,13.72,0,37377,0,,,17,0,17080,58.9,27,0,0,1,2
1069136,17675,17675, 60 months,14.65,417.25,C,C3,< 1 year,3,50000,2,16.46,0,37438,2,,,6,0,6661,57.4,14,0,0,1,2
1068923,8000,8000, 36 months,16.77,284.31,D,D2,< 1 year,3,62000,1,21.64,0,38899,3,,,14,0,6088,66.9,20,0,0,1,2
1069126,10000,10000, 60 months,10.65,215.69,B,B2,10+ years,3,45996,3,21.73,0,35551,1,,,7,0,11170,30.1,15,0,0,1,1
1069102,3500,3500, 36 months,10.65,114.01,B,B2,7 years,1,55000,1,5.39,0,38626,1,,,9,0,6611,45.9,12,0,0,1,2
1069093,12500,8925, 60 months,17.27,223.11,D,D3,5 years,3,30000,2,13.16,0,34790,0,,113,7,1,9844,70.8,28,0,0,1,1
1069030,16425,16425, 36 months,14.27,563.53,C,C2,4 years,3,44544,2,22.71,0,37530,1,,,10,0,15747,83.4,18,0,0,1,2
1068906,8200,8200, 60 months,21.28,223.14,F,F2,4 years,3,75000,2,12.48,0,36526,3,,,6,0,9012,73.9,11,0,0,1,1
1069073,15000,15000, 36 months,14.65,517.42,C,C3,2 years,2,61000,3,11.88,0,38139,1,,,8,0,19397,79.5,18,0,0,1,2
1069043,20975,13575, 60 months,17.58,341.63,D,D4,5 years,1,44000,3,18.79,0,36617,0,,105,13,1,20657,79.4,21,0,0,1,2
1060981,6400,6400, 36 months,16.77,227.45,D,D2,5 years,3,75000,1,20.22,0,34669,0,48,,9,0,7159,67.5,27,0,0,1,1
1069071,3000,3000, 36 months,13.49,101.8,C,C1,1 year,3,33600,1,18.11,0,38626,0,41,,4,0,2745,83.2,7,0,0,1,2
1069070,12000,12000, 36 months,16.77,426.47,D,D2,3 years,3,50000,1,20.57,0,38596,1,,,13,0,11443,97,19,0,0,1,2
1068893,14400,14400, 36 months,8.9,457.25,A,A5,< 1 year,2,150000,2,14.85,0,34669,0,,,12,0,63864,55,38,0,0,1,2
1068882,12000,12000, 36 months,14.65,413.94,C,C3,10+ years,3,90000,1,16.56,0,31017,2,40,,12,0,17116,78.5,36,0,0,1,2
1069039,11000,11000, 36 months,13.49,373.24,C,C1,10+ years,1,48000,3,21.82,0,36495,3,74,,15,0,11382,65,29,0,0,1,2
1068416,7250,7200, 60 months,21.67,197.51,F,F3,< 1 year,3,75000,3,24.82,0,36647,2,,97,9,1,21706,91.2,19,0,0,1,2
1068997,15000,15000, 36 months,7.9,469.36,A,A4,1 year,1,52000,1,9.65,0,37926,1,,,11,0,1616,6.7,29,0,0,1,2
1048390,18000,18000, 60 months,19.91,475.99,E,E4,10+ years,1,65000,1,6.81,0,32660,0,25,,10,0,11745,77.8,40,0,0,1,2
1068994,35000,22075, 60 months,17.27,551.84,D,D3,3 years,1,150000,3,7.51,0,37773,1,35,,11,0,7334,53.3,31,0,0,1,2
1068475,10000,10000, 36 months,14.27,343.09,C,C2,2 years,3,68000,2,15.39,0,38899,1,,,9,0,11303,81.3,15,0,0,1,2
1068989,11800,11800, 36 months,12.69,395.83,B,B5,6 years,3,42000,2,9.86,0,35339,0,,,4,0,8940,74.8,13,0,0,1,2
1068967,4500,4500, 36 months,6.03,136.96,A,A1,4 years,3,53000,2,4.44,0,36800,0,,,7,0,8630,13.9,17,0,0,1,2
1068744,7000,7000, 36 months,12.69,234.82,B,B5,10+ years,3,35000,2,11.35,0,36647,2,53,,10,0,7649,82.3,26,0,0,1,2
1045509,9200,9200, 36 months,12.42,307.43,B,B4,2 years,3,60000,2,19.96,0,37530,3,,,8,0,23299,78.7,19,0,0,1,2
1041756,4500,4500, 60 months,10.65,97.06,B,B2,< 1 year,1,42000,2,5.4,0,30348,0,,,4,0,8220,78.3,9,0,0,1,2
1068694,12000,12000, 36 months,16.29,423.61,D,D1,9 years,3,88365,3,16.85,0,35339,0,,,6,0,22936,96.4,15,0,0,1,2
1068792,12000,12000, 36 months,13.49,407.17,C,C1,4 years,3,72000,2,21.33,0,37742,1,,,11,0,3419,27.6,19,0,0,1,2
1068558,12000,12000, 36 months,10.65,390.88,B,B2,< 1 year,3,62000,3,23.94,0,37408,0,,,10,0,20310,78.4,51,0,0,1,2
1068322,7000,7000, 36 months,10.65,228.02,B,B2,3 years,1,43680,1,5.38,0,36800,0,39,,7,0,6245,78.1,11,0,0,1,2
1065674,8200,8200, 60 months,19.42,214.62,E,E3,3 years,3,120000,2,2.8,0,39234,2,,,5,0,10392,88.4,6,0,0,1,2
1068547,10500,10500, 36 months,12.69,352.23,B,B5,10+ years,3,66000,3,20.73,1,36039,2,10,,8,0,5790,51.2,26,0,0,1,2
1068545,7000,7000, 36 months,11.71,231.54,B,B3,4 years,2,39120,1,21.01,0,35400,0,26,33,8,1,9414,52.4,26,0,0,1,2
1049528,20000,12800, 60 months,11.71,282.86,B,B3,4 years,1,47800,3,10.04,0,37196,0,,,15,0,16447,46.3,27,0,0,1,2
1068542,17500,17500, 60 months,17.27,437.47,D,D3,7 years,1,45000,1,21.31,0,37500,2,,,13,0,20129,86.1,26,0,0,1,1
1068350,3500,3500, 36 months,6.03,106.53,A,A1,10+ years,1,83000,3,2.31,0,31413,0,35,,6,0,3092,13.4,28,0,0,1,2
1068509,6200,6200, 36 months,9.91,199.8,B,B1,2 years,3,25000,1,20.64,0,35916,2,,,7,0,6533,47.7,12,0,0,1,1
1068508,6000,6000, 36 months,8.9,190.52,A,A5,8 years,2,28800,1,13.17,0,38534,0,,,11,0,5269,36.8,13,0,0,1,2
1066641,7200,7200, 36 months,9.91,232.02,B,B1,6 years,3,135000,1,6.12,0,35431,0,,,7,0,16627,79.6,18,0,0,1,2
1068315,9500,9500, 36 months,8.9,301.66,A,A5,7 years,1,50000,1,8.18,0,38504,0,,,8,0,13422,60.5,13,0,0,1,2
1068309,18825,18825, 60 months,16.77,465.53,D,D2,10+ years,3,38000,3,23.18,0,38322,0,,,6,0,11004,79.7,7,0,0,1,1
1068326,24000,24000, 36 months,10.65,781.76,B,B2,10+ years,3,45000,3,14.8,0,32905,0,,,5,0,24708,55.2,9,0,0,1,2
1066767,6000,6000, 36 months,13.49,203.59,C,C1,10+ years,3,80000,1,11.58,0,37288,0,,,8,0,15499,83.8,16,0,0,1,2
1068484,6000,6000, 36 months,13.49,203.59,C,C1,5 years,3,50000,1,15.38,0,38047,1,,,6,0,15191,91.5,7,0,0,1,2
1068292,2100,2100, 36 months,12.42,70.18,B,B4,10+ years,1,30000,1,19.72,0,34881,1,,,12,0,12183,82.9,26,0,0,1,2
1068273,5500,5500, 36 months,6.62,168.88,A,A2,8 years,1,110000,3,9.69,0,34547,0,,,7,0,14136,21.9,26,0,0,1,2
1068274,11000,11000, 36 months,6.62,337.75,A,A2,8 years,2,45608,2,20.5,0,33756,0,,,7,0,10677,58.7,11,0,0,1,2
1068440,26800,26800, 60 months,20.89,723.38,F,F1,3 years,1,120000,3,12.15,0,38838,0,,,13,0,14772,48,18,0,0,1,2
1046456,8000,8000, 36 months,12.69,268.36,B,B5,5 years,1,35000,1,10.05,0,37530,0,,,7,0,6842,97.7,18,0,0,1,2
1068012,10000,10000, 36 months,18.25,362.78,D,D5,1 year,3,75000,2,24.14,0,35490,0,77,,9,0,22828,96.3,26,0,0,1,1
1055725,8000,8000, 36 months,11.71,264.61,B,B3,9 years,1,35000,3,9.7,0,38808,0,,,7,0,6142,46.5,8,0,0,1,2
1061814,10000,10000, 36 months,8.9,317.54,A,A5,6 years,3,24000,3,7,0,36526,0,28,,6,0,6734,49.5,21,0,0,1,2
1068232,12000,12000, 36 months,11.71,396.92,B,B3,2 years,1,126000,1,13.32,0,32964,0,74,,17,0,32711,54.1,38,0,0,1,2
1068405,10000,10000, 36 months,7.9,312.91,A,A4,1 year,3,43000,1,25.26,0,37773,0,,,8,0,8215,37.2,16,0,0,1,2
1068395,12000,12000, 36 months,9.91,386.7,B,B1,1 year,3,50000,1,16.44,0,36526,1,,,11,0,14335,29.3,25,0,0,1,2
1068202,25000,25000, 60 months,13.49,575.12,C,C1,10+ years,1,67000,3,14.15,0,36373,0,28,,6,0,15319,91.2,21,0,0,1,1
1068006,19750,19750, 36 months,10.65,643.33,B,B2,4 years,3,45000,3,22.8,0,36770,0,56,,12,0,16576,54.2,28,0,0,1,1
1068075,10000,10000, 36 months,9.91,322.25,B,B1,3 years,3,31200,2,14.81,0,38626,0,,,13,0,5540,27,19,0,0,1,2
1065642,13650,13650, 36 months,12.42,456.12,B,B4,4 years,3,66000,3,24.09,0,36923,0,74,,11,0,8933,56.5,34,0,0,1,2
1068179,28000,11800, 60 months,19.91,312.04,E,E4,10+ years,3,52000,3,20.7,0,32478,0,,,10,0,29178,87.6,16,0,0,1,1
1068158,18000,18000, 36 months,7.9,563.23,A,A4,10+ years,3,56964,2,27.55,0,36192,0,,,7,0,17381,76.6,20,0,0,1,2
1068180,2500,2500, 36 months,14.27,85.78,C,C2,7 years,3,49500,2,10.33,0,38292,1,52,,7,0,9868,37.7,20,0,0,1,2
1065673,21000,21000, 60 months,20.3,559.89,E,E5,10+ years,3,70000,3,23.21,0,33573,2,,,17,0,12508,70.7,25,0,0,1,2
1068159,35000,35000, 36 months,8.9,1111.37,A,A5,6 years,1,125000,3,22.71,0,36739,0,,,8,0,9051,34.8,32,0,0,1,2
1068165,10000,10000, 36 months,7.51,311.11,A,A3,3 years,3,33000,1,9.75,0,38261,1,,,9,0,68,0.6,19,0,0,1,2
1059689,7000,7000, 36 months,12.69,234.82,B,B5,< 1 year,3,30000,2,15.8,0,38200,2,,,7,0,15455,47.6,11,0,0,1,2
1066215,24000,24000, 36 months,15.96,843.3,C,C5,8 years,1,90000,2,9.17,0,34851,1,,,9,0,30952,71.2,23,0,0,1,1
1063270,10625,10625, 36 months,7.51,330.56,A,A3,5 years,1,23000,1,18.89,0,38384,1,,,9,0,7114,43.4,21,0,0,1,2
1067931,5000,5000, 36 months,14.65,172.48,C,C3,2 years,3,24000,2,18.3,0,38657,2,24,,5,0,2429,33.3,9,0,0,1,2
1067922,8850,8850, 36 months,6.62,271.73,A,A2,10+ years,3,62000,2,17.71,0,36039,0,,,7,0,9466,35.9,19,0,0,1,2
1067919,6375,6375, 36 months,7.51,198.34,A,A3,4 years,3,44000,2,4.8,0,36831,0,,,7,0,6324,58,11,0,0,1,2
1068106,6000,6000, 36 months,11.71,198.46,B,B3,1 year,3,90000,1,2.97,1,39203,0,16,,10,0,8489,56.6,23,0,0,1,2
1068111,11100,11100, 36 months,6.62,340.82,A,A2,10+ years,3,41000,3,29.85,0,33239,1,,,8,0,17518,62.3,18,0,0,1,1
1067655,10000,10000, 60 months,12.69,225.95,B,B5,2 years,1,56000,2,10.82,0,36617,1,,,11,0,10081,31.2,18,0,0,1,2
1060662,6200,6200, 36 months,6.03,188.71,A,A1,5 years,1,26500,1,18.2,0,36678,0,,,6,0,2982,16,18,0,0,1,2
1061304,15000,15000, 36 months,18.64,547.12,E,E1,1 year,3,54000,1,19.69,0,38930,2,,,9,0,15183,90.3,12,0,0,1,2
1068095,4200,4200, 36 months,11.71,138.92,B,B3,2 years,3,53000,1,16.91,0,37591,0,60,,15,0,8336,79.7,22,0,0,1,2
1067182,14000,14000, 36 months,14.27,480.33,C,C2,4 years,3,52800,1,7.36,0,38384,1,,,9,0,13378,70.8,14,0,0,1,2
822464,8875,8875, 36 months,7.51,276.11,A,A3,1 year,1,38000,1,23.53,0,34121,1,,,13,0,19056,62.1,27,0,0,1,2
1063526,13500,13500, 36 months,9.91,435.04,B,B1,7 years,3,38000,3,12.38,0,35551,1,,,3,0,16023,67.3,7,0,0,1,2
1068091,12000,12000, 36 months,9.91,386.7,B,B1,2 years,3,42000,1,7.83,0,38869,2,,,8,0,9749,65.4,16,0,0,1,1
1068090,16000,16000, 60 months,19.91,423.11,E,E4,4 years,3,55000,3,15.8,0,38018,0,54,,8,0,7743,72.4,19,0,0,1,2
1068082,21600,21600, 60 months,19.42,565.32,E,E3,8 years,1,60000,2,16.74,1,33208,0,23,,6,0,13354,78.1,21,0,0,1,2
1068078,6000,6000, 36 months,10.65,195.44,B,B2,6 years,1,87000,1,12.86,2,36586,0,9,,12,0,11739,40.5,22,0,0,1,2
1057633,8450,8450, 60 months,16.77,208.97,D,D2,5 years,2,25000,3,22.51,0,38047,2,,,6,0,17614,83.5,21,0,0,1,2
1046204,20000,20000, 60 months,13.49,460.1,C,C1,1 year,3,82000,1,17.68,0,34731,0,,,13,0,26693,61.4,23,0,0,1,2
1067794,10000,10000, 36 months,11.71,330.76,B,B3,8 years,3,60000,1,22.08,0,37073,0,,,8,0,5626,29.3,26,0,0,1,1
1067816,12000,12000, 36 months,16.29,423.61,D,D1,5 years,1,80000,3,18.18,0,37347,0,,,8,0,29609,97.2,11,0,0,1,2
1068018,13475,13475, 60 months,13.49,309.99,C,C1,10+ years,3,25000,3,21.89,0,37226,1,,,7,0,9943,65.8,14,0,0,1,1
1052996,7200,7200, 36 months,12.42,240.59,B,B4,5 years,3,48000,1,17.43,0,38961,1,,,7,0,16450,80.2,10,0,0,1,2
1067818,5600,5600, 36 months,14.65,193.17,C,C3,1 year,1,85000,1,12.24,1,36281,3,11,,8,0,6812,90.8,31,0,0,1,1
1064842,12000,12000, 36 months,14.27,411.71,C,C2,< 1 year,3,57000,3,10.86,0,36008,1,,,7,0,9273,81.5,11,0,0,1,2
1067109,8500,8500, 36 months,6.03,258.71,A,A1,2 years,3,25000,1,1.73,0,38626,0,,,6,0,2463,28,18,0,0,1,2
1067971,8000,8000, 36 months,9.91,257.8,B,B1,2 years,3,34000,2,18.28,0,38687,0,,,6,0,7434,78.5,7,0,0,1,2
1057518,8000,8000, 36 months,12.42,267.33,B,B4,10+ years,3,40000,1,15,0,38108,0,,,10,0,18601,88.2,11,0,0,1,2
1067473,16000,16000, 60 months,15.27,382.92,C,C4,10+ years,3,42656.4,2,17.44,0,37165,1,,,4,0,12830,92.3,17,0,0,1,2
1062177,15000,15000, 36 months,17.27,536.81,D,D3,2 years,1,44400,2,3.59,1,30468,0,18,93,6,1,4582,91.6,16,0,0,1,2
1067447,10000,10000, 36 months,9.91,322.25,B,B1,2 years,2,30000,1,11.24,0,34731,1,,,8,0,9152,66.8,30,0,0,1,2
1059412,10000,10000, 36 months,6.62,307.04,A,A2,5 years,1,70000,1,16.78,0,34547,0,,,9,0,10770,69,18,0,0,1,2
1062608,8000,8000, 36 months,14.65,275.96,C,C3,3 years,3,28000,1,12.6,0,38961,1,,,8,0,6187,54.3,11,0,0,1,2
1067664,22000,22000, 36 months,9.91,708.95,B,B1,2 years,1,50000,3,13.22,0,36039,4,,,17,0,21470,49.8,32,0,0,1,2
1067441,6000,6000, 36 months,14.27,205.86,C,C2,10+ years,1,94800,3,24.53,0,31472,1,,,13,0,71890,95.9,30,0,0,1,2
1067644,2500,2500, 36 months,7.51,77.78,A,A3,n/a,2,12000,2,16.3,0,34547,2,,,13,0,4853,42.2,20,0,0,1,1
1062288,13500,13500, 36 months,9.91,435.04,B,B1,2 years,1,36000,2,22.93,0,29312,1,,,13,0,25011,67.2,15,0,0,1,2
1067434,25000,25000, 36 months,12.42,835.39,B,B4,2 years,3,225000,3,8.32,1,38169,0,13,,11,0,30449,34.6,23,0,0,1,2
1067419,10000,10000, 36 months,13.49,339.31,C,C1,2 years,3,45900,3,24.97,0,38261,2,45,,10,0,8936,48.3,12,0,0,1,2
1067601,2500,2500, 36 months,13.49,84.83,C,C1,4 years,3,27200,1,6.44,0,39630,0,,,6,0,3473,68.1,6,0,0,1,2
1067579,7325,7325, 36 months,12.69,245.72,B,B5,1 year,3,42000,1,22.57,0,35186,3,65,,12,0,7281,65,29,0,0,1,2
1067563,4000,4000, 36 months,12.42,133.67,B,B4,5 years,3,135000,3,12.12,0,37987,3,,,11,0,29311,85.7,21,0,0,1,2
1067364,10000,10000, 36 months,13.49,339.31,C,C1,5 years,3,65000,1,6.92,1,36495,2,19,,12,0,14292,69.5,17,0,0,1,1
1067152,7750,7750, 36 months,17.27,277.36,D,D3,< 1 year,3,24000,1,16.1,0,38231,1,41,,4,0,2348,67.1,7,0,0,1,1
1062471,20000,20000, 60 months,20.89,539.84,F,F1,6 years,3,70000,2,16.63,0,37561,1,,,10,0,10470,79.9,24,0,0,1,1
1066842,9600,9600, 36 months,12.42,320.79,B,B4,10+ years,3,65000,3,11.65,0,37469,0,,,6,0,11279,70.9,11,0,0,1,2
1067126,21000,21000, 60 months,11.71,464.07,B,B3,3 years,3,60000,1,6.62,0,33208,0,,,7,0,10543,79.9,11,0,0,1,1
1067326,14000,14000, 36 months,10.65,456.03,B,B2,3 years,3,30000,2,15.52,0,38961,0,,,7,0,15542,65.6,14,0,0,1,2
1066789,13350,13350, 36 months,12.42,446.1,B,B4,10+ years,3,43000,1,20.57,0,36281,0,,,7,0,11531,95.3,15,0,0,1,2
1067324,15000,15000, 36 months,16.77,533.08,D,D2,10+ years,3,42000,3,19.63,0,37104,2,,,10,0,8238,74.9,38,0,0,1,1
1067102,15000,15000, 36 months,17.27,536.81,D,D3,8 years,3,75000,2,16.03,0,33298,0,48,,10,0,13505,75.9,17,0,0,1,1
1067084,35000,35000, 36 months,10.65,1140.07,B,B2,2 years,1,168000,3,3.17,1,37591,1,22,,16,0,1099,1.4,22,0,0,1,2
1067090,9000,9000, 36 months,10.65,293.16,B,B2,9 years,1,74000,2,8.89,0,36039,0,,,7,0,7388,71.7,10,0,0,1,2
1067265,16000,16000, 36 months,12.69,536.72,B,B5,1 year,3,58500,2,20.64,0,34578,0,,,8,0,26224,89.3,10,0,0,1,1
1067287,13500,13500, 36 months,12.69,452.86,B,B5,5 years,3,71000,2,11.97,0,36130,2,,,4,0,6681,77.7,11,0,0,1,2
1067066,24000,24000, 36 months,12.69,805.08,B,B5,10+ years,3,75000,3,11.6,0,35186,0,,,10,0,21609,84.6,33,0,0,1,2
1067283,12000,12000, 36 months,10.65,390.88,B,B2,5 years,3,60000,1,10.84,0,37408,1,,,12,0,11849,48.8,18,0,0,1,2
1066635,28000,28000, 60 months,17.58,704.64,D,D4,5 years,1,140000,3,12.07,0,38899,1,,,13,0,2686,13.4,24,0,0,1,2
1067026,14000,14000, 36 months,6.62,429.86,A,A2,10+ years,3,66000,2,11.15,0,36404,1,,,7,0,12095,35.4,46,0,0,1,2
1067038,12000,12000, 36 months,14.27,411.71,C,C2,8 years,1,70000,1,8.4,0,38565,1,,,7,0,11546,86.2,12,0,0,1,1
1067030,25000,25000, 36 months,11.71,826.9,B,B3,10+ years,1,100000,3,6.88,0,31747,1,,,8,0,21128,89.1,18,0,0,1,2
1065350,9000,9000, 36 months,12.69,301.91,B,B5,5 years,3,50000,2,17.81,0,37226,1,,,13,0,12752,55.4,21,0,0,1,2
1067028,13250,13250, 36 months,10.65,431.6,B,B2,4 years,3,35000,1,24.93,0,37530,2,,,11,0,13392,58.7,25,0,0,1,2
